id;ano;uf;crescimento;gini;educ_fem;educ_mas;invest_estad;pib_percapita
1;2004;Acre;0,007565269;0,735187;6,858800411;6,12397337;19,26090973;5,765555102
1;2005;Acre;0,008448779;0,733279;6,933274269;6,236433029;19,72661024;6,37133494
1;2006;Acre;0,005280322;0,732895;7,252581596;6,334653854;20,22405971;6,720022084
1;2007;Acre;0,010271031;0,726051;7,949839592;6,895820618;19,86278932;7,665336721
1;2008;Acre;0,010364791;0,726923;7,79528904;7,357328415;20,31214903;8,774884569
1;2009;Acre;0,009228195;0,732872;8,126662254;7,322576523;20,82480527;9,895751457
1;2011;Acre;0,004407684;0,714592;7,998078823;7,224847317;20,42992607;11,49575529
1;2012;Acre;0,007789859;0,716393;8,469285965;7,790873528;20,78579313;12,7996831
1;2013;Acre;0,007673924;0,698498;8,230643272;7,402592182;20,88257158;14,25308131
1;2014;Acre;0,009814968;0,709874;8,352741241;7,536971092;21,00290554;16,44768677
1;2015;Acre;0,000738307;0,702146;8,263863564;7,663760662;20,30954866;16,38015547
1;2016;Acre;0,000584525;0,682746;8,4;7,3;20,21631962;16,29384804
1;2017;Acre;0,002252156;0,683597;8,6;7,7;20,31239201;16,66509936
1;2018;Acre;0,004341385;0,698241;8,7;7,7;20,33104139;17,63688058
2;2004;Alagoas;0,006522963;0,731059;5,487061501;4,915416718;19,60710993;4,633411124
2;2005;Alagoas;0,005929177;0,725812;5,503130913;4,925582886;20,2075209;5,056985845
2;2006;Alagoas;0,007029781;0,732877;5,905435562;5,388888836;19,87117602;5,626473193
2;2007;Alagoas;0,007980778;0,740501;6,103775978;5,532542229;19,91676396;6,370484001
2;2008;Alagoas;0,00676115;0,72945;6,267320156;5,678299427;20,37238606;7,075159945
2;2009;Alagoas;0,00488995;0,734932;6,373492718;5,674368858;20,80406656;7,623223
2;2011;Alagoas;0,009009989;0,754962;6,622702122;5,867851257;20,7861797;9,851027475
2;2012;Alagoas;0,005230877;0,755656;6,916114807;6,29443121;20,95243448;10,72476513
2;2013;Alagoas;0,004217292;0,744972;7,036030769;6,386816978;21,01488107;11,480283
2;2014;Alagoas;0,005416827;0,746158;7,021011829;6,323489666;21,26610151;12,55544436
2;2015;Alagoas;0,007053129;0,747634;7,317776203;6,708441257;20,84141897;14,13969868
2;2016;Alagoas;0,003668029;0,73483;7,1;6,6;20,60305739;15,01952436
2;2017;Alagoas;0,003732995;0,717591;7,4;6,7;20,63138687;15,97900398
2;2018;Alagoas;0,001637861;0,719354;7,7;7;21,02383124;16,37773625
3;2004;Amapá;0,007567671;0,795061;7,969738007;7,711527824;19,05948067;6,637811196
3;2005;Amapá;0,007825698;0,782708;8,629337311;7,91861248;18,94078123;7,231380464
3;2006;Amapá;0,013353122;0,791405;8,714211464;8,140853882;19,17720489;8,585599573
3;2007;Amapá;0,008382824;0,777855;8,864970207;8,136673927;19,08383437;9,475344499
3;2008;Amapá;0,009286522;0,781591;8,899368286;8,744724274;19,44504783;10,62411516
3;2009;Amapá;0,004751416;0,782225;9,051447868;8,488621712;19,49654213;11,10808001
3;2011;Amapá;0,00834942;0,770029;9,033981323;8,449597359;19,96000104;13,22536837
3;2012;Amapá;0,010464541;0,774748;9,30755043;9,032734871;20,43652793;15,28933882
3;2013;Amapá;0,008435398;0,765663;9,447533607;8,926845551;20,80311391;17,13658938
3;2014;Amapá;0,002975625;0,773062;10,10924244;9,279789925;20,53183972;17,58207506
3;2015;Amapá;0,002061107;0,769808;9,632149696;9,008942604;20,10054455;17,78420381
3;2016;Amapá;0,002073715;0,759556;10;9,3;19,35712545;18,00827831
3;2017;Amapá;0,004640557;0,760113;10,4;9,3;19,65008094;19,04096994
3;2018;Amapá;0,004918184;0,765705;10,1;9,2;19,58512065;20,24753283
4;2004;Amazonas;0,010787766;0,907582;8,022583961;7,467448711;20,34343595;9,898374716
